Rank,title,AuthorName,Language,Price_normal,Id
2326,Keto på 4 uger,Jane Faerber,Dansk,199.95,9788740062793
2327,Turen går til Amsterdam,Anette Jorsal,Dansk,35,9788740066227
2328,Familieleksikon,Natalia Ginzburg,Dansk,179.95,9788740070064
2329,Sænk dit kolesterol,Jerk W. Langer,Dansk,199.95,9788740074895
2330,De siger jeg er psykopat,Kristina Antivakis,Dansk,199.95,9788740083811
2331,Enten Eller,Søren Kierkegaard,Dansk,59.95,9788740485189
2332,Sociale systemer,Niklas Luhmann,Dansk,179.95,9788741272740
2333,I kampens hede,Sara Ejersbo,Dansk,149.95,9788743403623
2334,Mit hjerte tilhører dig / En ganske særlig nat...,Margaret McDonagh,Dansk,84.95,9788743514657
2335,Tvivl aldrig på min kærlighed,Charlotte Hawkes,Dansk,44.95,9788743515074
2336,Klart sprog i opgaver på videregående uddannelser,Peter Stray Jørgensen,Dansk,59.95,9788759321355
2337,Diskurs og praksis,Anders Horsbøl,Dansk,199.95,9788759327265
2338,Luk julefreden ind,Michael Bojesen,Dansk,29.95,9788759892374
2339,De usynlige,Roy Jacobsen,Dansk,129.95,9788763832342
2340,Drengen fra Napoli,Viola Ardone,Dansk,129.95,9788763865609
2341,Mørkebror,Arttu Tuominen,Dansk,159.95,9788770075251
2342,Galgens bog,Thomas Enger,Dansk,159.95,9788770077446
2343,Hans vilje ske,Linda Ståhl,Dansk,159.95,9788770309547
2344,Hamlon,Jan Guillou,Dansk,89.95,9788771463149
2345,Skyggerne og regnen,Håkan Nesser,Dansk,89.95,9788771463156
2346,Elever med svag teoretisk formåem,Gunilla Carlsson Kendell,Dansk,49.95,9788771770841
2347,Crazy Coy,Eskil Berger,Dansk,179.95,9788772001289
2348,Biblioteksmordet i Haslev,Else Lefmann,Dansk,159.95,9788772184838
2349,Safirenken,Dinah Jefferies,Dansk,149.95,9788772387451
2350,Brødre,Peter Graae,Dansk,219.95,9788773398029
2351,Helhjertet,René Dahl Andersen,Dansk,219.95,9788773398173
2352,Hærdet,René Dahl Andersen,Dansk,189.95,9788773399453
2353,Så er der kronhjort Kurt,Christian Monggaard,Dansk,76.93,9788775147946
2354,Sarek,Ulf Kvensler,Dansk,159.95,9788775621200
2355,Diplomatens hustru,Pam Jenoff,Dansk,199.95,9788775621934
2356,Alt det vi aldrig kom os over,Lucy Score,Dansk,129.95,9788775934713
2357,Bare kald mig chef,Dennis Drejer,Dansk,179.95,9788775936823
2358,Sproglig polyfoni,n a,Dansk,169.95,9788779349759
2359,Kunsten at forandre,Ole Bak Jakobsen,Dansk,129.95,9788785181022
2360,Fænomenologi,Edmund Husserl,Dansk,229.95,9788793535497
2361,Samtykket,Vanessa Springora,Dansk,79.95,9788793661998
2362,Bamses fødselsdag,Jan Mogensen,Dansk,79.95,9788794015417
2363,Isabelles valg,AnneMarie Brear,Dansk,99.95,9788794384490
2364,Cyklus,Stine Fürst,Dansk,169.95,9788794441582
2365,Løft din karriere,Trine Ulrich,Dansk,99.95,9788797347508
2366,Søværnet under den kolde krig ,Peter Bogason,Dansk,99.95,9788799511358
2367,Styrk styrkerne,Asger Fredslund,Dansk,139.95,9788799626823
2368,Poker Face,Millie Blake,Dansk,19.95,9788799748228
2369,Bamse løber hjemmefra,Jan Mogensen,Dansk,64.95,9788799959532
2370,Den tryllebundne stjerne,Nora Roberts,Dansk,74.95,9789150784930
2371,Alternative Investment Fund Managers Directive,Dirk Zetzsche,Engelsk,2379.95,9789403509150
2372,CultureShock! Korea,John Bocskay,,129.95,9789814779197
2373,Sur la philosophie africaine,Paulin J. Hountondji,,291.99,9789956790838
2374,Håndbog for superhelte 8: Den længste nat,Agnes Våhlund,Dansk,99.95,9788775936335
2375,Regenerative Leadership,Giles Hutchins,,210.54,9781783241248
2376,En anden gren,Jesper Wung-Sung,Dansk,129.95,9788763856843
2377,Vi begynder med slutningen,Chris Whitaker,Dansk,159.95,9788775620326
2378,Vardari 2 - Sølvstruben,Siri Pettersen,Dansk,129.95,9788702319804
2379,Healing through Relating,Jon Frederickson,Engelsk,409.95,9780988378834
2380,Det tavse vidne,Elly Griffiths,Dansk,79.95,9788712058076
2381,Falske værdier,Lee Child,Dansk,159.95,9788771075625
2382,Døden nær,Lee Child,Dansk,159.95,9788771076424
2383,Kongens Fald,Johannes V. Jensen,Dansk,49.95,9788702196986
2384,X måder at dø på,Stefan Ahnhem,Dansk,149.95,9788711906132
2385,TÅRERNES EUROPA,Lykke Friis,Dansk,199.95,9788793982598
2386,Løgnens hus,Elly Griffiths,Dansk,79.95,9788712055549
2387,It Happened One Summer,Tessa Bailey,Engelsk,29.95,9780063045668
2388,En dag vil vi grine af det,Thomas Korsgaard,Dansk,149.95,9788726012507
2389,Jeg er Sussi,Michael Enggaard,Dansk,199.95,9788740082463
2390,Huset på klippen,Elly Griffiths,Dansk,79.95,9788712056911
2391,Lykke-Per,Henrik Pontoppidan,Dansk,29.95,9788793763036
2392,De tavse kvinder,Karin Slaughter,Dansk,179.95,9789150793437
2393,Things We Left Behind,Lucy Score,Engelsk,55.85,9781399713801
2394,Lejemorderens guide til et smukt hjem,Hallgrímur Helgason,Dansk,99.95,9788711410653
2395,Dobbeltmordet,Peer Kaae,Dansk,179.95,9788775934829
2396,Strategi med mening,Mark Holst Mikkelsen,Dansk,179.95,9788711403754
2397,Eden,Auður Ava Ólafsdóttir,Dansk,199.95,9788793993785
2398,Ensomme hjerters klub,Lotte og Søren Hammer,Dansk,79.95,9788702099720
2399,Wolf Hall,Hilary Mantel,Engelsk,65.17,9780007322749
2400,Fat Chance,Dr Robert Lustig,Engelsk,89.95,9780007514137
2401,Between the Devil and Desire,Lorraine Heath,Engelsk,37.2,9780061977596
2402,Art of Memoir,Mary Karr,Engelsk,84.95,9780062223081
2403,Scary Stories to Tell in the Dark,Alvin Schwartz,Engelsk,41.86,9780062682840
2404,SS-GB,Len Deighton,Engelsk,84.95,9780141996080
